FIPS,EDU_PESS_Districts,EDU_PESS_Schools,EDU_PESS_Local_Inst,EDU_PESS_Students
01001,1,15,15,
01003,1,45,45,31214
01005,2,8,8,4796
01007,3,10,9,3291
01009,2,20,20,9285
01011,1,4,4,
01013,1,7,7,3131
01015,5,37,37,17925
01017,2,14,14,4537
01019,1,8,8,4021
01021,1,13,13,7756
01023,1,4,4,1417
01025,2,10,10,3962
01027,1,4,4,1936
01029,1,9,9,
01031,4,17,16,9813
01033,4,25,25,8087
01035,2,7,7,1858
01037,1,4,4,
01039,3,15,15,6187
01041,1,4,4,
01043,2,35,35,12696
01045,3,16,16,
01047,2,25,25,6661
01049,2,20,20,12244
01051,2,18,18,13266
01053,3,18,17,5543
01055,7,43,41,15556
01057,1,6,6,2375
01059,2,13,13,6137
01061,2,13,13,4044
01063,1,5,5,
01065,1,7,7,2611
01067,1,6,6,2489
01069,3,32,32,15532
01071,3,25,25,7992
01073,22,196,186,99112
01075,1,5,5,2366
01077,2,20,20,12879
01079,2,15,15,4834
01081,4,34,34,23660
01083,2,24,24,16119
01085,1,8,8,1508
01087,2,7,7,2023
01089,6,81,81,52009
01091,3,10,10,3838
01093,2,15,15,4634
01095,5,35,35,18105
01097,10,102,95,62155
01099,1,9,9,
01101,7,62,55,31732
01103,3,45,45,19639
01105,1,3,3,1442
01107,1,8,8,2609
01109,2,11,11,
01111,2,11,11,3786
01113,2,21,21,9359
01115,2,27,27,13123
01117,5,43,31,34388
01119,1,6,6,1569
01121,4,33,29,11867
01123,2,10,10,5983
01125,5,58,58,28846
01127,2,24,24,10445
01129,1,8,8,2812
01131,1,6,6,1767
01133,2,14,14,4212
02013,1,4,4,239
02020,3,105,105,48789
02060,2,16,16,131
02068,1,4,4,873
02090,2,46,46,19239
02100,1,3,3,266
02110,1,15,15,4852
02122,1,43,43,9013
02130,1,9,9,2361
02150,1,15,15,2425
02164,,,,349
02170,1,47,47,18809
02185,1,11,11,2144
02188,1,13,13,2131
02195,1,3,3,475
02220,2,7,6,1717
02230,1,1,1,132
02275,1,3,3,273
02282,1,2,2,85
04001,12,36,36,10599
04003,27,74,54,19475
04005,20,63,43,18590
04007,14,28,22,7748
