"Household, Family and Nonfamily Income: New Jersey and Counties",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,New Jersey,Atlantic County,Bergen County,Burlington County,Camden County,Cape May County,Cumberland County,Essex County,Gloucester County,Hudson County,Hunterdon County,Mercer County,Middlesex County,Monmouth County,Morris County,Ocean County,Passaic County,Salem County,Somerset County,Sussex County,Union County,Warren County
Total Households,"3,176,234","100,454","334,181","164,920","190,290","45,082","50,957","276,826","103,686","240,543","47,506","129,371","278,169","232,348","178,723","221,240","161,113","24,947","114,337","55,958","184,075","41,508"
"Less than $10,000","170,198","6,752","13,676","5,779","12,560","2,440","4,125","25,404","4,804","19,953","1,053","7,390","10,665","9,084","4,226","10,159","13,324","1,796","2,479","1,770","11,230","1,529"
"$10,000 to $14,999","125,738","5,103","11,244","4,364","9,438","2,370","3,378","15,528","3,748","13,119","1,136","5,310","8,274","7,127","3,679","10,712","8,322","1,187","2,493","1,082","6,519","1,605"
"$15,000 to $19,999","126,744","4,948","11,362","5,085","8,474","2,010","2,980","12,546","3,891","12,735","1,245","4,826","9,718","8,300","4,880","11,056","7,838","1,340","2,838","1,665","7,413","1,594"
"$20,000 to $24,999","130,293","5,070","11,970","5,466","8,393","2,551","2,694","14,201","3,689","11,665","1,136","5,532","10,190","8,362","4,689","11,406","8,683","1,018","2,704","1,569","7,543","1,762"
"$25,000 to $29,999","127,058","5,221","11,005","5,825","9,035","2,573","2,731","13,612","3,654","11,460","1,367","4,569","9,597","8,321","4,830","10,250","8,304","1,264","3,250","1,741","7,132","1,317"
"$30,000 to $34,999","124,729","5,301","10,405","5,688","7,457","2,435","2,187","12,759","3,751","11,086","1,342","5,063","9,598","8,200","5,174","10,314","7,521","1,074","3,379","1,888","8,690","1,417"
"$35,000 to $39,999","118,947","5,225","10,313","5,648","8,500","1,910","2,350","12,556","3,350","9,584","1,162","4,402","9,185","7,575","5,072","10,227","6,946","1,170","3,534","2,026","7,137","1,075"
"$40,000 to $44,999","124,169","5,077","12,048","6,972","8,158","2,119","2,533","11,842","3,613","10,197","1,208","4,497","10,283","7,653","5,196","10,157","7,052",923,"3,543","1,835","7,463","1,800"
"$45,000 to $49,999","111,779","4,547","9,775","6,702","7,226","2,012","2,252","9,970","3,661","8,842","1,071","4,343","9,687","6,867","5,296","9,051","6,457",810,"3,157","1,740","6,665","1,648"
"$50,000 to $59,999","230,628","8,238","22,629","13,092","15,555","3,750","4,441","20,004","8,392","17,869","3,100","9,499","20,167","15,621","10,099","17,929","11,019","2,145","6,023","4,391","13,621","3,044"
"$60,000 to $74,999","305,821","10,516","30,762","16,491","19,449","4,410","5,078","24,353","11,294","23,189","3,726","11,934","29,118","19,042","16,080","23,536","15,013","2,845","10,320","5,798","18,519","4,348"
"$75,000 to $99,999","422,464","14,910","43,691","25,414","26,298","5,920","6,599","31,413","16,380","27,372","5,762","16,443","39,596","30,424","23,693","30,887","18,662","3,412","15,872","9,720","22,689","7,307"
"$100,000 to $124,999","331,716","7,614","36,928","19,699","19,669","3,954","4,331","23,107","12,940","19,901","5,861","12,854","34,845","27,479","20,582","21,845","14,160","2,720","13,276","7,229","17,970","4,752"
"$125,000 to $149,999","213,289","3,997","25,482","13,171","10,421","2,679","2,145","12,635","7,482","13,604","4,212","8,926","21,929","18,435","16,148","12,745","8,840","1,130","9,385","5,082","11,951","2,890"
"$150,000 to $199,999","249,022","4,535","32,821","14,014","11,087","2,108","1,952","15,728","7,752","14,202","5,980","10,871","24,686","22,326","21,227","12,284","10,997","1,250","13,696","4,792","13,503","3,211"
"Less than $200,000","2,912,595","97,054","294,111","153,410","181,720","43,241","49,776","255,658","98,401","224,778","39,361","116,459","257,538","204,816","150,871","212,558","153,138","24,084","95,949","52,328","168,045","39,299"
"$200,000 or more","263,639","3,400","40,070","11,510","8,570","1,841","1,181","21,168","5,285","15,765","8,145","12,912","20,631","27,532","27,852","8,682","7,975",863,"18,388","3,630","16,030","2,209"
Median Household Income in 2010,"$69,400","$52,772","$81,004","$76,072","$60,242","$53,611","$50,452","$54,252","$72,133","$56,269","$101,830","$71,716","$76,355","$82,162","$95,563","$59,565","$54,782","$58,367","$94,898","$80,921","$66,923","$72,875"
